id,marca,modelo,tipo_computador,procesador_marca,procesador_modelo,generacion_cpu,nucleos_cpu,hilos_cpu,frecuencia_base_ghz,frecuencia_max_ghz,ram_gb,tipo_ram,velocidad_ram_mhz,almacenamiento_gb,tipo_almacenamiento,almacenamiento_secundario_gb,gpu_marca,gpu_modelo,tipo_gpu,vram_gb,tamano_pantalla,resolucion_ancho,resolucion_alto,tipo_panel,tasa_refresco_hz,pantalla_tactil,bateria_wh,peso_kg,ancho_cm,profundidad_cm,grosor_cm,wifi,bluetooth,puertos_usb,puerto_hdmi,puerto_ethernet,sistema_operativo,version_so,garantia_meses,precio,precio_anterior,descuento_porcentaje,precio_usd
1000,Samsung,Samsung 2486,Notebook,Intel,Core i3,12,4.0,8,3.03,4.48,8,DDR5,4800,2000,HDD,0,Intel,Iris Xe Graphics,Integrada,0,17.3,1920,1080,TN,60,0,44.6,2.09,39.2,27.5,1.85,WiFi 6E,5.1,3,1,0,Windows 11,Home,24,4133019,4862375,15.0,1033.25
1001,Apple,Apple 3041,Ultrabook,Apple,M1,1,8.0,8,2.17,3.31,16,LPDDR5,6400,1024,SSD,0,Apple,GPU Apple,Integrada,0,13.3,2560,1600,IPS,60,0,59.3,1.13,30.5,21.7,1.91,WiFi 6E,5.0,2,1,1,macOS,Ventura,6,6565559,6911115,5.0,1641.39
1002,Xiaomi,Xiaomi 6889,Gaming,Intel,Core i5,13,6.0,12,2.23,4.55,32,DDR4,3200,2048,SSD,1000,NVIDIA,RTX 3050,Dedicada,6,15.6,1920,1080,OLED,240,0,81.7,2.37,35.9,23.0,1.84,WiFi 6,5.2,3,1,1,Windows 11,Home,12,10979884,10979884,0.0,2744.97
1003,MSI,MSI 4657,Workstation,Intel,Core i9,13,16.0,24,2.15,5.3,32,DDR5,5200,2048,SSD,0,NVIDIA,RTX A2000,Dedicada,8,15.6,2560,1600,IPS,60,0,70.3,1.54,35.6,22.6,1.53,WiFi 5,5.3,3,1,1,Windows 11,Home,12,12790654,13463846,5.0,3197.66
1004,Lenovo,Lenovo 7296,2 en 1,Intel,Core i7,11,8.0,16,2.16,5.09,8,LPDDR4X,3733,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,13.3,2560,1600,OLED,120,1,56.5,1.12,30.6,21.7,1.69,WiFi 5,5.0,3,2,0,Windows 11,Home,6,4639941,5043414,8.0,1159.99
1005,Xiaomi,Xiaomi 1759,Profesional,Intel,Core i7,12,8.0,16,2.22,4.93,32,DDR5,4800,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,2560,1600,IPS,60,1,68.4,1.45,35.9,23.1,1.5,WiFi 5,5.1,3,1,1,Windows 11,Home,12,5741768,6379742,10.0,1435.44
1006,Acer,Acer 8267,Notebook,Intel,Core i3,10,3.0,10,3.02,4.24,8,DDR4,2933,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,17.3,1920,1080,TN,60,0,44.1,1.9,39.7,27.1,1.87,WiFi 5,4.2,3,1,1,Windows 11,Home,6,2629668,2921853,10.0,657.42
1007,Xiaomi,Xiaomi 9667,Ultrabook,Intel,Core i7,12,8.0,18,2.29,4.96,8,DDR5,5600,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,90,1,73.2,1.53,31.2,22.6,1.89,WiFi 7,5.0,2,1,0,Windows 11,Home,12,4950007,5823538,15.0,1237.5
1008,MSI,MSI 1047,Gaming,Intel,Core i7,13,8.0,16,2.06,5.15,64,DDR5,5600,1024,SSD,0,NVIDIA,RTX A2000,Dedicada,8,15.6,2560,1600,OLED,144,0,67.5,2.31,36.3,23.1,1.9,WiFi 5,5.2,3,1,1,Windows 11,Home,12,12792441,15049931,15.0,3198.11
1009,Lenovo,Lenovo 4752,Workstation,AMD,Ryzen 9,14,13.0,20,2.27,5.14,32,DDR4,2666,1024,SSD,0,AMD,RX 7600M,Dedicada,8,15.6,1920,1080,IPS,144,0,68.7,1.77,35.6,23.0,1.48,WiFi 6,4.2,2,1,1,Windows 11,Home,24,11187909,12431010,10.0,2796.98
1010,Lenovo,Lenovo 6363,2 en 1,Intel,Core i5,13,6.0,12,2.31,4.56,16,DDR5,5600,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,13.3,1920,1080,,60,1,55.0,1.16,30.9,21.4,2.01,WiFi 6E,4.2,3,2,0,Windows 11,Pro,6,5150543,5150543,0.0,1287.64
1011,Acer,Acer 5278,Profesional,AMD,Ryzen 5,13,9.0,13,2.63,4.76,16,DDR4,3200,512,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,1920,1080,OLED,120,0,62.5,1.04,31.0,21.7,1.83,WiFi 6E,5.0,3,1,1,Windows 11,Pro,24,4495393,4495393,0.0,1123.85
1012,Dell,Dell 3052,Notebook,AMD,Ryzen 3,11,5.0,10,2.96,4.26,8,DDR4,2666,1000, ssd ,0,AMD,Radeon Graphics,Integrada,0,14.0,1920,1080,IPS,60,0,,1.54,31.3,21.8,1.79,WiFi 6E,4.2,4,1,1,Windows 11,Pro,12,3231705,3231705,0.0,807.93
1013,Dell,Dell 5627,Ultrabook,Intel,Core i7,11,8.0,16,2.35,4.52,32,DDR4,3200,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,13.3,2880,1800,IPS,60,0,71.4,1.0,29.8,21.8,2.0,WiFi 6E,5.0,4,1,1,Windows 11,Home,12,8630486,9084722,5.0,2157.62
1014,Asus,Asus 6872,Gaming,AMD,Ryzen 7,14,8.0,16,2.48,4.86,32,DDR5,5200,1024,SSD,0,NVIDIA,RTX 4070,Dedicada,8,16.0,1920,1080,VA,165,0,,2.28,35.7,24.4,1.77,WiFi 6,5.2,4,2,1,Windows 11,Pro,12,11219423,12195025,8.0,2804.86
1015,MSI,MSI 9381,Workstation,AMD,Ryzen 9,12,12.0,20,2.3,4.82,32,DDR5,5200,2048,SSD,0,NVIDIA,RTX 3050,Dedicada,6,16.0,3840,2400,IPS,144,0,89.7,1.93,36.2,24.7,1.79,WiFi 6E,4.2,4,2,0,Windows 11,Pro,12,11827078,13914209,15.0,2956.77
1016,Lenovo,Lenovo 9293,2 en 1,AMD,Ryzen 7,11,8.0,16,2.48,5.06,8,DDR4,2666,512,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,2560,1600,IPS,60,1,55.9,1.49,30.5,21.5,1.94,WiFi 5,5.1,4,1,1,Windows 11,Home,12,4444112,4937902,10.0,1111.03
1017,Samsung,Samsung 8616,Profesional,AMD,Ryzen 7,14,8.0,16,2.46,5.25,32,DDR5,4800,1024,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,1920,1080,IPS,120,0,65.2,1.62,31.5,21.6,1.67,WiFi 7,5.3,3,2,1,Windows 11,Pro,12,6414766,8018458,20.0,1603.69
1018,Xiaomi,Xiaomi 6609,Notebook,AMD,Ryzen 5,12,8.0,13,2.62,4.58,8,DDR5,5600,256,SSD,0,AMD,Radeon Graphics,Integrada,0,17.3,1366,768,IPS,120,0,35.6,2.13,39.2,27.4,1.85,WiFi 6,5.3,2,2,1,Windows 11,Home,6,3763943,3763943,0.0,940.99
1019,lenovo,Dell 8540,Ultrabook,Intel,Core i5,11,7.0,14,2.39,4.8,32,DDR4,2666,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,13.3,2560,1600,OLED,60,0,72.6,0.93,30.7,20.8,1.94,WiFi 5,4.2,2,1,1,Windows 11,Pro,24,5555197,6535526,15.0,1388.8
1020,MSI,MSI 6727,Gaming,AMD,Ryzen 5,12,9.0,14,2.63,4.55,32,DDR5,4800,512,SSD,1000,NVIDIA,RTX 4070,Dedicada,8,16.0,2560,1600,OLED,240,0,61.8,2.01,35.4,24.6,1.88,WiFi 5,5.0,2,2,0,Windows 11,Home,24,11972252,11972252,0.0,2993.06
1021,LG,LG 2380,Workstation,Intel,Core i7,13,8.0,16,2.04,4.59,32,DDR5,4800,2048,SSD,0,NVIDIA,RTX 3050,Dedicada,6,16.0,3840,2400,IPS,60,0,65.2,2.17,35.8,24.5,1.65,WiFi 7,5.0,2,1,1,Windows 11,Pro,12,10733616,11926240,10.0,2683.4
1022,MSI,MSI 6024,2 en 1,Intel,Core i7,11,7.0,17,2.26,4.89,8,DDR4,2666,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,13.3,2560,1600,IPS,60,1,59.5,1.31,30.3,21.4,1.85,WiFi 6,5.0,2,1,1,Windows 11,Home,24,5228636,5683300,8.0,1307.16
1023,Apple,Apple 8443,Profesional,Apple,M3,3,8.0,8,2.55,4.2,16,LPDDR5,6400,512,SSD,0,Apple,GPU Apple,Integrada,0,14.0,2560,1600,OLED,60,0,57.8,1.42,31.4,22.2,1.94,WiFi 6,5.0,3,1,1,macOS,Ventura,12,6576742,7148633,8.0,1644.19
1024,HP,HP 8550,Notebook,AMD,Ryzen 3,10,4.0,9,2.93,4.17,8,DDR4,3200,256,SSD+HDD,2000,AMD,Radeon Graphics,Integrada,0,15.6,1366,768,TN,60,0,42.4,1.85,35.6,23.0,1.41,WiFi 6E,5.0,2,1,0,Windows 11,Home,24,3689761,3689761,0.0,922.44
1025,Acer,Acer 6841,Ultrabook,AMD,Ryzen 7,14,8.0,18,2.37,4.88,32,DDR5,5200,512,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,1920,1080,IPS,60,0,62.8,1.61,35.9,22.5,1.56,WiFi 7,5.2,3,1,0,Windows 11,Home,12,5668393,6161297,8.0,1417.1
1026,Lenovo,Lenovo 2597,Gaming,AMD,Ryzen 5,14,8.0,12,2.69,4.61,16,DDR5,5600,2048,SSD,0,NVIDIA,RTX 4060,Dedicada,8,16.0,2560,1600,OLED,300,0,73.6,2.12,35.7,24.1,1.86,WiFi 6E,5.3,3,1,0,Windows 11,Home,12,11065297,11647681,5.0,2766.32
1027,Lenovo,Lenovo 1667,Workstation,Intel,Core i9,13,16.0,24,2.3,5.22,64,DDR5,4800,2048,SSD,0,NVIDIA,RTX 4050,Dedicada,6,16.0,1920,1080,IPS,60,0,75.7,2.03,35.5,24.5,1.93,WiFi 7,5.2,3,2,1,Windows 11,Pro,12,12485245,14688524,15.0,3121.31
1028,MSI,MSI 2997,2 en 1,Intel,Core i3,12,4.0,8,3.04,4.38,8,LPDDR4X,3733,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,2560,1600,OLED,120,1,51.2,1.63,35.6,22.4,1.42,WiFi 7,5.3,4,1,0,Windows 11,Pro,6,5039356,5928654,15.0,1259.84
1029,Acer,Acer 7836,Profesional,AMD,Ryzen 5,14,7.0,13,2.56,4.7,32,DDR5,4800,1024,SSD,0,nvidia,Radeon Graphics,Integrada,0,16.0,2560,1600,OLED,60,1,54.2,1.84,35.5,24.0,1.83,WiFi 5,5.2,2,2,1,Windows 11,Home,12,6286495,6984994,10.0,1571.62
1030,Dell,Dell 2680,Notebook,Intel,Core i5,10,6.0,12,2.27,4.34,8,DDR4,3200,512,SSD+HDD,2000,Intel,Iris Xe Graphics,Integrada,0,15.6,1366,768,IPS,60,0,44.9,1.8,35.6,22.6,1.45,WiFi 6,5.1,3,2,1,windows 11 pro,Home,12,4477967,4477967,0.0,1119.49
1031,Apple,Apple 3560,Ultrabook,Apple,M2,2,8.0,8,2.39,3.24,16,LPDDR5,6400,512,SSD,0,Apple,GPU Apple,Integrada,0,14.0,2560,1600,IPS,60,0,66.2,1.2,30.8,22.2,1.46,WiFi 6E,5.0,3,1,1,macOS,Ventura,24,6269370,7836712,20.0,1567.34
1032,Dell,Dell 3402,Gaming,AMD,Ryzen 5,14,8.0,12,2.55,4.62,64,DDR5,4800,1024,SSD+HDD,1000,NVIDIA,RTX 4050,Dedicada,6,15.6,2560,1600,IPS,165,0,84.6,2.33,35.8,23.8,1.72,WiFi 6E,5.1,4,1,1,Windows 11,Pro,12,11668780,13727976,15.0,2917.2
1033,Dell,Dell 1544,Workstation,AMD,Ryzen 9,12,12.0,20,2.2,4.86,32,DDR5,5600,2048,SSD,0,NVIDIA,RTX A2000,Dedicada,8,16.0,1920,1080,IPS,60,0,75.0,1.62,35.5,24.1,1.53,WiFi 7,5.0,3,2,0,Windows 11,Home,6,11597192,13643755,15.0,2899.3
1034,Dell,Dell 3999,Gaming ,AMD,Ryzen 7,12,8.0,16,2.43,5.02,8,DDR5,4800,256,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,2560,1600,IPS,60,1,58.6,1.48,31.1,21.6,1.64,WiFi 6,5.3,3,1,0,Windows 11,Home,24,3952050,4295707,8.0,988.01
